rank_h_index,h_index,rank_g_index,g_index,bgg_user_name
879,33,1568,54,xitoliv
879,33,1568,54,yosoyfro
879,33,1674,53,amethystjewel
879,33,1674,53,ankeszu
879,33,1674,53,carrion
879,33,1674,53,f022y
879,33,1674,53,ivan111
879,33,1674,53,jentinma
879,33,1674,53,maghd
879,33,1674,53,marclemagnifique
879,33,1674,53,muzfish4
879,33,1674,53,pghmedia
879,33,1674,53,pollux1969
879,33,1792,52,basl
879,33,1792,52,brougnouff
879,33,1792,52,claudio turri
879,33,1792,52,cortolaw
879,33,1792,52,elpete
879,33,1792,52,formersd
879,33,1792,52,jazzbeaux
879,33,1792,52,kilanthas
879,33,1792,52,snowman882
879,33,1792,52,turbo gg
879,33,1792,52,zadokzadok
879,33,1906,51,47029
879,33,1906,51,broggi
879,33,1906,51,dhamilton85
879,33,1906,51,fillypej
879,33,1906,51,slush_
879,33,1906,51,solove
879,33,1906,51,someball23
879,33,2053,50,gonzo104
879,33,2053,50,lucinda2020
879,33,2053,50,mogust
879,33,2053,50,thecat
879,33,2204,49,heiko doubleu
879,33,2204,49,izobretenik
879,33,2204,49,patrice_jps
879,33,2204,49,verseboy
879,33,2351,48,acbmml
879,33,2351,48,aschuetter
879,33,2351,48,botticus
879,33,2351,48,d0nk1j0t3
879,33,2351,48,gaudium
879,33,2351,48,keighleyrob
