,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
23,24,2719,14521,,,,,,,,,,,107,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,97,,,,,,,13,60,,,,,38,26,852,51,,,,,,,,,,,10877,11,4,29,339,45,9,18,,,,,46,49,,,,,802,32,,,,,,,,,,,,,,,,,,,,,109,20,,,,,,,,,,,43,35,,,,,,,,,,,,,,,,,437,43,,,,,,,,,,,,,,,25,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,58,,,,,,,,,,,,,,,,,,,,,,,,,69,50,,,,,,,,,,,,,315,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,50,,,,,,,,,,,,,,,,,,,,,,,,,,,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,23
24,25,5072,14287,,,,,,,,,,,371,6,,,,,,,,,,,,,,,,,,,,,,,,,29,16,,,,,175,2,,,,,,,,,11,54,,,,,,,,,,,,,114,7,1040,46,,,,,,,,,,,8418,17,4,31,94,82,,,,,24,19,,,,,,,643,40,,,,,,,,,,,,,,,,,31,2,,,,,250,2,,,,,,,,,,,,,,,,,146,9,,,,,,,,,100,99,1937,9,,,,,,,,,,,,,47,20,,,,,,,,,,,,,,,,,,,,,,,,,16,2,,,33,2,,,147,2,109,5,,,,,,,,,,,,,64,73,6,11,115,9,,,,,,,,,,,,,,,,,,,,,,,,,,,44,50,,,,,,,98,71,,,,,,,,,,,,,,,,,,,58,2,,,,,,,,,,,,,,,30,58,,,,,63,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,57
25,26,39856,14114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,8,,,,,,,,,,,,,,,63,13,,,,,,,173,17,,,,,22,36,1431,32,,,,,,,,,,,3039,52,,,2604,8,,,,,,,59,42,,,,,931,29,,,,,,,,,,,,,,,,,,,,,134,17,,,,,,,,,,,64,28,,,,,,,,,,,,,,,,,3424,3,,,,,,,,,,,,,,,21,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,33,,,,,,,,,,,,,,,,,,,,,349,27,,,,,350,16,,,,,,,1013,20,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,37
26,27,822,13990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,53,12,,,,,,,,,,,,,,,64,11,,,,,,,249,9,,,7,6,22,34,1846,22,,,,,,,45,13,,,4074,39,7,11,564,32,,,,,,,370,8,,,,,1385,15,,,,,,,,,,,,,,,,,,,,,49,34,,,,,,,,,,,248,12,,,,,,,,,,,,,,,,,1551,11,343,28,,,,,,,,,,,,,65,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,14,20,5,91,13,,,,,,,,,,,,,,,,,,,,,587,17,,,,,200,26,,,,,,,815,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,28,,,,,,,,,,,,,,,,,,,,,,,291,22
27,28,2952,13889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,12,,,,,,,,,,,,,102,10,2198,19,,,,,,,,,,,5448,29,5,23,882,25,,,5,11,,,304,13,,,,,1545,13,,,,,,,,,,,,,,,,,,,,,16,53,,,,,,,,,,,,,,,,,,,15,17,,,,,,,8,8,1591,10,27,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,27,,,86,14,,,,,,,,,,,,,,,,,,,,,,,,,,,120,36,,,,,,,710,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,25821,13450,,,,,,,,,,,285,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424,14,,,,,,,,,,,1115,112,3,42,1386,20,,,,,,,,,,,,,4098,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,9,,,,,,,,,,,,,,,,,,,,,,,407,19
29,30,9209,11926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,48,,,,,,,,,,,,,58,17,1100,41,,,,,,,,,,,6250,24,,,414,39,,,,,7,27,307,12,,,,,6,408,,,,,,,,,,,,,,,,,,,,,42,37,,,,,,,,,,,43,36,,,,,,,,,,,,,,,,,852,23,161,48,,,,,,,,,,,,,22,44,,,,,,,,,,,,,,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228,8,5,14,119,8,,,,,,,,,,,,,,,,,,,,,577,18,,,,,,,,,,,,,377,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,12,,,,,,,,,,,,,13,19,,,,,,,,,,,,,,,,,,,,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,
30,31,2392,11429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,24,,,,,,,187,14,,,,,,,933,48,,,,,,,71,10,,,6242,25,,,339,44,,,2,16,173,9,73,38,,,,,1190,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,25,,,,,,,,,,,,,,,,,462,40,286,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,29,,,65,15,,,,,,,,,,,,,,,,,,,,,540,20,,,,,164,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,16,,,,,,,33,15,,,,,128,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,51
31,32,30549,10111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,49,,,,,,,58,28,,,,,13,49,1108,39,,,,,,,,,,,6207,26,,,508,35,,,2,20,,,,,,,,,618,41,,,,,,,,,,,,,,,,,,,,,75,27,,,,,,,,,,,15,46,,,,,,,,,,,,,,,,,498,35,200,41,,,,,,,,,,,,,37,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,37,,,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,25,,,,,,,,,,,,,,,,,,,,,,,,,,,9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,61
32,33,2386,9872,,,,,,,,,,,59,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,30,,,,,,,44,35,,,,,24,32,281,109,,,,,,,,,,,4021,40,3,37,2229,9,,,,,,,116,27,,,,,759,34,,,,,,,,,,,,,,,,,,,,,39,39,,,,,,,,,,,77,22,11,10,,,,,,,,,,,,,,,579,32,,,,,,,,,,,,,,,33,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,110,10,,,,,,,,,,,,,,,,,,,,,334,28,,,,,135,30,,,,,,,135,60,,,,,,,,,,,,,,,,,,,,,7,22,,,,,,,,,,,,,97,33,,,,,,,,,,,,,19,16,,,,,,,,,,,,,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,701,11
33,34,2398,9786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,31,312,97,,,,,,,,,,,7870,19,4,28,204,58,,,,,,,28,64,,,,,676,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,89,144,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,52,,,,,,,,,,,,,,,,,,,,,,,,,63,54,,,,,,,,,,,,,163,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,57,,,,,,,,,,,,,,,,,,,,,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,1111,9691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,16,,,,,,,,,,,,,,,1516,30,,,,,,,291,6,,,4391,34,,,965,23,,,,,,,,,,,,,187,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,4192,9452,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,21,,,,,,,37,39,,,,,41,24,953,47,,,,,,,15,17,,,4712,31,,,240,55,,,,,,,35,58,,,,,371,57,,,,,,,,,,,,,,,5,6,,,,,27,45,,,,,,,,,,,76,24,,,,,,,,,,,,,,,,,364,49,390,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,42,,,,,,,,,,,,,,,,,,,,,,,,,185,33,,,,,,,,,,,,,1608,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,40,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,,,,,,,,,,,,,,,,,,,,,3,11,,,,,,,,,,,77,56
36,37,1917,8361,,,,,,,,,,,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,27,,,,,,,27,46,,,,,96,11,859,50,,,,,,,,,,,4105,37,3,36,423,38,,,2,15,122,12,26,68,,,,,1000,27,,,,,,,,,,,,,,,,,,,,,94,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,72,,,,,,,,,,,,,,,17,52,,,,,,,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,10,,,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,58,,,,,,,,,,,,,,,,,,,,,8,21,,,,,,,,,,,,,60,42,,,,,,,,,,,,,,,,,,,,,,,,,,,16,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,36
37,38,6819,8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,19,3955,4,,,,,,,,,,,1792,74,7,13,142,66,,,,,,,33,59,,,,,256,80,,,,,,,,,,,,,,,,,,,,,41,38,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,213,69,119,57,,,,,,,,,,,,,17,54,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,97,61,,,26,31,,,,,,,,,,,,,,,,,,,,,612,15,,,,,36,56,,,,,,,192,52,,,,,,,,,,,,,,,,,,,,,33,14,,,,,,,,,,,,,413,7,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,47
38,39,36218,7782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,39,,,,,,,77,26,,,,,21,38,1624,27,,,,,,,,,,,3871,41,,,93,84,,,,,,,43,53,,,,,374,56,,,,,,,,,,,,,,,,,,,,,22,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,93,1024,14,,,,,,,,,,,,,26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,44,,,44,22,,,,,,,,,,,,,,,,,,,,,79,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,41
39,40,2921,7735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,36,,,,,,,,,,,,,,,1104,40,,,,,,,,,,,4602,33,,,,,,,,,,,,,,,,,286,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,13,,,,,,,,,,,,,70,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,255613,7537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,51,368,,,,,,,,,,,609,165,,,,,,,,,,,,,,,,,6,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3218,1,,,,,,,,,16,220,,,,,,,137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2539,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,30
41,42,1258,7431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,,,,,,,1164,36,,,,,,,,,,,6177,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,188834,6920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222,34,,,,,,,,,,,4668,32,,,,,,,,,,,,,,,,,703,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,2407,6678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,292,,,,,,,,,,,6530,22,,,80,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,2785,6574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2,,,,,,,,,,,,,11,59,307,102,,,,,,,,,,,715,144,1,51,2619,7,,,37,2,,,16,90,,,,,824,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,48,,,,,,,,,,,,,,,,,1015,18,52,73,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,17,,,,,,,,,,,,,,,,,,,,,15,1,,,98,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,41,82
45,46,2281,6556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,3653,44,,,1455,18,,,,,,,,,,,,,591,43,,,,,,,,,,,,,,,,,,,,,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,5432,6483,,,,,,,,,,,279,9,,,5,2,,,,,,,,,,,,,,,,,,,,,59,11,,,,,86,3,,,,,,,,,18,37,,,,,,,,,,,,,,,358,88,,,,,,,,,,,1135,109,,,1440,19,,,,,475,7,45,52,,,,,274,71,,,,,,,,,,,,,,,,,18,3,,,100,22,122,3,,,,,,,,,,,,,,,,,376,6,,,,,,,,,332,52,119,56,,,,,,,,,,,,,25,38,,,,,,,,,,,,,1,23,,,,,55,5,,,,,,,,,22,3,,,15,3,,,,,,,,,,,,,,,267,34,7,9,26,30,,,,,,,,,,,,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,10,,,,,45,48,,,,,79,2,,,60,2,,,261,5,,,,,,,,,,,,,156,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,38
47,48,28,6282,,,,,,,,,,,168,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,108,,,,,,,,,,,2904,56,,,620,29,,,,,,,37,55,,,,,299,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,13,,,,,,,,,356,50,1188,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,46,,,,,,,,,,,,,,,,,,,,,222,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,2381,6259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,41,,,,,,,,,,,,,,,36,447,,,,,,,,,,,4975,30,,,818,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,13713,6211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,53,,,,,,,,,,,,,34,27,1085,43,,,,,,,,,,,1546,83,,,372,43,,,2,18,,,75,37,,,,,975,28,,,,,,,,,,,,,,,,,,,,,45,35,,,,,,,,,,,26,39,,,,,,,,,,,,,1,8,,,486,37,168,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,33,,,,,,,,,,,,,,,,,,,,,,,,,301,29,,,,,305,18,,,,,,,214,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,52,,,,,,,,,,,,,,,,,,,,,86,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,32
50,51,2399,6201,,,,,,,,,,,79,17,,,,,,,,,,,,,19,4,,,,,,,,,,,43,14,,,,,,,,,5,7,,,,,32,22,,,,,,,42,36,,,,,,,310,99,,,,,,,23,15,,,2752,57,6,15,737,27,,,,,19,20,72,40,,,,,269,73,,,,,,,,,,,,,,,,,,,,,78,26,,,,,,,,,,,65,27,,,,,,,,,,,,,,,,,286,55,180,45,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,47,,,,,,,,,,,6,6,,,,,,,,,,,,,100,40,,,,,133,32,,,,,19,13,369,36,,,,,,,,,,,,,,,,,,,1,6,15,19,,,,,,,,,,,,,21,70,,,,,,,,,,,,,,,,,,,,,122,14,,,,,8,47,,,,,,,,,90,13,,,,,,,,,,,,,,,,,,,,,,,147,34
51,52,34848,5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,71,658,64,,,,,,,,,,,4132,36,3,43,267,53,,,,,,,17,89,,,,,154,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,41,82,61,,,,,,,,,,,,,23,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,23,,,,,,,,,,,,,,,,,,,,,,,89,49
52,53,483,5605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,50,,,,,,,31,43,,,,,11,58,234,126,,,,,,,,,,,3710,42,5,20,70,93,,,,,,,36,57,,,,,390,53,,,,,,,,,,,,,,,,,,,,,17,52,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,216,67,500,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,65,,,9,40,,,,,,,,,,,,,,,,,,,,,13,110,,,,,30,59,,,,,,,99,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,81,,,,,,,,,,,,,,,,,,,,,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,50
